기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,당월_매출_건수,점포수,당월_매출금액/점포수,당월_매출건수/점포수,총_유동인구_수,총_직장_인구_수,총 상주인구 수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가,시군구_코드
2020,2,A,골목상권,1000610,개봉로17길,LL,다이나믹,90,47,1191815693.0,68974,52,22919532.557692308,1326.423076923077,871308,1304,5515,185,56,133277203,11530
2020,2,A,골목상권,1000609,개봉로11길,LH,상권확장,104,58,676759339.0,29271,51,13269790.960784314,573.9411764705883,431178,181,5207,149,56,138713826,11530
2020,2,A,골목상권,1000608,화곡로64길,LL,다이나믹,100,52,8829491512.0,517039,168,52556497.0952381,3077.6130952380954,739329,1128,4380,31,50,176386032,11500
2020,2,A,골목상권,1000607,화곡로59길,LH,상권확장,87,55,3427009991.0,182131,64,53547031.109375,2845.796875,652688,316,2627,34,65,212730819,11500
2020,2,A,골목상권,1000606,화곡로44나길,LL,다이나믹,101,47,5212489121.0,281880,157,33200567.649681527,1795.4140127388534,851919,625,3160,83,50,121004021,11500
2020,2,A,골목상권,1000605,화곡로31길,LL,다이나믹,101,52,4985351307.0,320844,177,28165826.59322034,1812.677966101695,790499,618,2722,81,53,125068383,11500
2020,2,A,골목상권,1000604,화곡로20길,LL,다이나믹,96,49,3970728728.0,204401,120,33089406.066666666,1703.3416666666667,1273562,355,3284,59,53,127562110,11500
2020,2,A,골목상권,1000603,화곡로13길,LL,다이나믹,98,48,4052699468.0,266304,151,26839069.32450331,1763.6026490066224,745267,368,3444,79,51,131519930,11470
2020,2,A,골목상권,1000602,초원로16길,HH,정체,118,54,1470756059.0,149990,40,36768901.475,3749.75,761346,523,3468,38,58,218704774,11500
2020,2,A,골목상권,1000601,초록마을로8길,HH,정체,123,62,957966976.0,88059,39,24563255.794871796,2257.923076923077,1072223,116,4721,189,50,116066039,11500
2020,2,A,골목상권,1000600,초록마을로3길,HL,상권축소,120,53,6489856033.0,272393,115,56433530.72173913,2368.634782608696,1155712,439,2869,54,44,108840151,11500
2020,2,A,골목상권,1000599,월정로20길,HL,상권축소,115,52,2547397655.0,237520,95,26814712.157894738,2500.2105263157896,1100485,135,2765,45,37,111735891,11500
2020,2,A,골목상권,1000598,우장산로6길,LL,다이나믹,87,53,5914027752.0,275084,105,56324073.82857143,2619.847619047619,1544086,486,5398,94,57,170163748,11500
2020,2,A,골목상권,1000597,양천로73가길,HH,정체,115,59,9215453411.0,634550,145,63554851.11034483,4376.206896551724,798198,468,2819,24,52,225524791,11500
2020,2,A,골목상권,1000596,양천로71길,LH,상권확장,102,57,3228607103.0,108881,110,29350973.663636364,989.8272727272728,958868,1203,6534,14,75,344650642,11500
2020,2,A,골목상권,1000595,양천로49길,HH,정체,129,57,3378494115.0,333021,64,52788970.546875,5203.453125,198537,342,1428,33,54,177444726,11500
2020,2,A,골목상권,1000594,양천로26길,LL,다이나믹,99,49,3421148096.0,136305,100,34211480.96,1363.05,334339,479,2019,9,58,230381948,11500
2020,2,A,골목상권,1000593,양천로24길,LL,다이나믹,96,49,2487170852.0,151912,82,30331351.85365854,1852.5853658536585,951204,186,3749,27,50,193610458,11500
2020,2,A,골목상권,1000592,양천로24가길,HL,상권축소,118,50,17121623722.0,541507,171,100126454.51461989,3166.7076023391814,778679,207,2942,37,54,163089378,11500
2020,2,A,골목상권,1000591,양천로14길,LL,다이나믹,104,48,5406709574.0,296593,135,40049700.54814815,2196.9851851851854,679231,257,4339,47,53,151833814,11500
2020,2,A,골목상권,1000590,방화대로6라길,LL,다이나믹,106,52,18597454901.0,325760,130,143057345.3923077,2505.846153846154,694644,653,2307,2,30,101429487,11500
2020,2,A,골목상권,1000589,방화대로21길,LH,상권확장,109,55,2742954657.0,197270,85,32270054.788235296,2320.823529411765,433823,390,2431,34,50,167313264,11500
2020,2,A,골목상권,1000588,등촌로5길,HL,상권축소,114,48,12431248340.0,434786,137,90739038.97810219,3173.6204379562046,352593,1524,1390,36,50,133776686,11500
2020,2,A,골목상권,1000587,등촌로55길,LL,다이나믹,96,45,2446684368.0,153600,50,48933687.36,3072.0,637937,432,2892,86,45,147454683,11500
2020,2,A,골목상권,1000586,등촌로51길,HH,정체,113,55,2511520239.0,110659,72,34882225.541666664,1536.9305555555557,359158,239,2027,38,63,232672682,11500
2020,2,A,골목상권,1000585,등촌로39길,LL,다이나믹,110,45,4747059100.0,334583,102,46539795.09803922,3280.225490196078,996058,313,3293,77,53,145955979,11500
